id_product, title, image, price, quantity, category, caption, description, brand, type, volume
0@'Pure Game Edition 2022'@'images/GUWXeD9t/adidas-pure-game-edition-2022-toaletna-voda-pre-muzov_.jpg'@'7.9'@'875'@'Toaletná voda'@'toaletná voda pre mužov'@'Mužnosť, silu a odvahu, ktoré sú vo vás ukryté, vám pomôže odhaliť pánska toaletná voda Adidas Pure Game Edition 2022. Vôňa prekypuje maskulinitou a dokonale podčiarkne váš charakter na každom kroku.'@'Adidas'@'Aromatická'@'50'
0@'UEFA CL Dare Edition'@''@'9.87'@'325'@'Toaletná voda'@'toaletná voda pre mužov'@'Nový deň, nová príležitosť zdolávať výzvy. Toaletná voda pre mužov Adidas UEFA Champions League Dare Edition osvieži vašu myseľ a vy tak môžete smelo nasledovať svoj inštinkt. Vydajte sa v ústrety každodennému dobrodružstvu.'@'Adidas'@'Citrusová'@'100'
0@'Ice Dive'@'images/oDkklDLm/adidas-ice-dive-toaletna-voda-pre-muzov___3.jpg'@'14.80'@'243'@'Toaletná voda'@'toaletná voda pre mužov'@'Adidas Ice Dive je ľadovo-chladivá pánska vôňa. Tento parfém sa bude páčiť všetkým aktívnym a odvážnym mužom, ktorí radi športujú a chcú si naplno užiť každý svoj ​​deň. Parfém Ice Dive vás prekvapí svojou nadčasovosťou! Jedinečný mix sviežich ovocných tónov sa jemne mieša s korenenými akordmi a spoločne tak vytvárajú nezameniteľnú a príťažlivú arómu.'@'Adidas'@'Korenistá'@'50'
0@'Get Ready! For Him'@'images/3O8R3If2/adidas-get-ready-for-him-toaletna-voda-pre-muzov___32.jpg'@'16.87'@'324'@'Toaletná voda'@'toaletná voda pre mužov'@'Nestraťte tempo ani na konci náročného dňa! Toaletná voda pre mužov Adidas Get Ready! For Him je pestrou kombináciou vonných ingrediencií, ktorá vás neprestane baviť a udrží vás v správnom rytme.'@'Adidas'@'Drevitá'@'100'
0@'Dynamic Pulse'@'images/rjcv1ViN/adidas-dynamic-pulse-toaletna-voda-pre-muzov___3.jpg'@'8.50'@'64'@'Toaletná voda'@'toaletná voda pre mužov'@'Adidas Dynamic Pulse je svieža pánska vôňa, ktorá pomáha každému mužovi nájsť pocit vitality, energie a sily na nový aktívny deň. Tento unikátny parfém je určený športovo založeným mužom, ktorí radi dosahujú svoje limity a posúvajú hranice svojich možností. Táto vôňa Dynamic Pulse je plná atraktivity, mladosti a dynamiky. Svojím unikátnym zložením cielene dodáva pocit čistej energie a revitalizuje dušu. Zároveň pomáha vyjadrovať jedinečnosť osobnosti.'@'Adidas'@'Drevitá'@'50'
0@'Team Force'@'images/DMITCPIq/force.png'@'6.5'@'654'@'Parfémy'@'telový sprej pre mužov'@'Adidas Team Force predstavuje aromatickú vôňu pre mužov. Vrchné tóny vynikajú ovocnou arómou pomaranča, ananásu, mandarínky, grapefruitu a aldehydov. Stredné tony zjemňuje kolekcia borievky a jazmínu spolu s dráždivou vôňou santalového dreva. V základe je vôňa rafinovane dochutená jantárom, cédrovým drevom a tabakom. Team Force sa objavil na trhu v roku 2000.'@'Adidas'@'Aromatická'@'100'
0@'Active Bodies'@'images/RNWfQn82/adidas-active-bodies-toaletna-voda-pre-muzov___3.jpg'@'12'@'165'@'Toaletná voda'@'toaletná voda pre mužov'@'Novú závislosť, ktorej sa nebudete chcieť vzdať, predstavuje toaletná voda pre mužov Adidas Active Bodies . Presvedčí vás hneď pri prvom privoňaní, že odteraz bude neodmysliteľnou súčasťou každého vášho dňa.'@'Adidas'@'Aromatická'@'100'
0@'Détour noir'@'images/JaTqhtrV/detour.png'@'35.9'@'35'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Novú závislosť, ktorej sa nebudete chcieť vzdať, predstavuje parfumovaná voda pre mužov Al Haramain Détour noir . Presvedčí vás hneď pri prvom privoňaní, že odteraz bude neodmysliteľnou súčasťou každého vášho dňa.'@'Al Haramain'@'Kvetinová'@'100'
0@'Signature Blue'@'images/f2aAINOw/signature.png'@'27'@'45'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Aká zvodná vie byť vôňa Orientu, vám odhalí pánska parfumovaná voda Al Haramain Signature Blue. Tajuplnosť a štipka záhady, ktorú vyžaruje, podnieti zvedavosť všetkých okolo vás.'@'Al Haramain'@'Fougerova'@'100'
0@'Amber Oud Tobacco Edition'@'images/JRec8UiA/al-haramain-amber-oud-tobacco-edition-parfumovana-voda-unisex_.jpg'@'69'@'87'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Zahaľte sa aj vy do vône, vďaka ktorej budete mať skvelú náladu po celý deň. Pánska parfumovaná voda Al Haramain Amber Oud Tobacco Edition je vyjadrením optimizmu a pocitu absolútneho šťastia.'@'Al Haramain'@'Orientálna'@'60'
0@'sadf'@'images/ct7wKKMv/adidas-get-ready-for-him-toaletna-voda-pre-muzov___32.jpg'@'45'@'45'@'Parfémy'@'dsfg'@'asdf'@'Al Haramain'@'Citrusová'@'60'
0@'Maze'@'images/WJbbmoLq/maze.png'@'40'@'57'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Objavte vôňu, ktorá nezapadá do žiadnych škatuliek, a pritom majstrovsky zdôrazní osobnosť svojho nositeľa. Pánska parfumovaná voda Al Haramain Maze je tá pravá vôňa, ktorá umožní vyniknúť vašej originalite.'@'Al Haramain'@'Kvetinová'@'50'
0@'Dehnal Oudh Ateeq'@'images/g18t2six/dehnal.png'@'45'@'25'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Aká zvodná vie byť vôňa Orientu, vám odhalí pánska parfumovaná voda Al Haramain Dehnal Oudh Ateeq . Tajuplnosť a štipka záhady, ktorú vyžaruje, podnieti zvedavosť všetkých okolo vás.'@'Al Haramain'@'Korenistá'@'60'
0@'Dazzle Intense'@'images/tv1dKdMe/dazzle.png'@'44'@'78'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Objavte vôňu, ktorá nezapadá do žiadnych škatuliek, a pritom majstrovsky zdôrazní osobnosť svojho nositeľa. Pánska parfumovaná voda Al Haramain Dazzle Intense je tá pravá vôňa, ktorá umožní vyniknúť vašej originalite'@'Al Haramain'@'Ovocná'@'100'
0@'Mena'@'images/xxWsoPeH/mena.png'@'31.52'@'120'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Kúzlo tejto vône tkvie v tom, že sa skvelo hodí pre ženy aj mužov. Každý si v nej nájde to svoje, na každom sa rozvonia inak. Pánska parfumovaná voda Al Haramain Mena sa na vašom toaletnom stolíku rozhodne nestratí a navyše sa o ňu môžete deliť aj so svojou drahou polovičkou.'@'Al Haramain'@'Orientálna'@'60'
0@'Dubai'@'images/06lZP8eR/dubai.png'@'30'@'34'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Na rande, na večierok alebo na stretnutie s priateľmi? Pánska parfumovaná voda Al Haramain Dubai sa skvele hodí kedykoľvek, keď chcete zažiariť. Objavte aj vy vôňu, ktorá dokonale doplní vašu jedinečnú charizmu.'@'Al Haramain'@'Orientálna'@'60'
0@'Amber Oud'@'images/imaJ1Ney/amber-oud.png'@'79'@'234'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Aká zvodná vie byť vôňa Orientu, vám odhalí pánska parfumovaná voda Al Haramain Amber Oud . Tajuplnosť a štipka záhady, ktorú vyžaruje, podnieti zvedavosť všetkých okolo vás.'@'Al Haramain'@'Orientálna'@'60'
0@'Mukhamria Maliki Ateeq'@'images/V6Vnikz6/ateeq.png'@'41'@'21'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Dovoľte, aby o vás parfumovaná voda Al Haramain Mukhamria Maliki Ateeq prezradila, že do miestnosti práve vstúpil muž, ktorý dostane všetko, po čom túži. Vôňa plná mužnej zmyselnosti, zvodnosti a vášne nenechá chladným nikoho vo vašom okolí.'@'Al Haramain'@'Pižmová'@'60'
0@'Platinum Oud 50 years'@'images/7aR36zIa/platinum50.png'@'84.70'@'15'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Nový deň, nová príležitosť zdolávať výzvy. Pánska parfumovaná voda Al Haramain Platinum Oud 50 years osvieži vašu myseľ a vy tak môžete smelo nasledovať svoj inštinkt. Vydajte sa v ústrety každodennému dobrodružstvu.'@'Al Haramain'@'Drevitá'@'100'
0@'Rawaa'@'images/9x29AmqD/raawa.png'@'30.48'@'156'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Na rande, na večierok alebo na stretnutie s priateľmi? Pánska parfumovaná voda Al Haramain Rawaa sa skvele hodí kedykoľvek, keď chcete zažiariť. Objavte aj vy vôňu, ktorá dokonale doplní vašu jedinečnú charizmu.'@'Al Haramain'@'Kvetinová'@'100'
0@'Portfolio Imperial Oud'@'images/6XY7XhlH/portfolio.png'@'198'@'12'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Zabudnite na pravidlá, hranice a limity. Pánska parfumovaná voda Al Haramain Portfolio Imperial Oud sa skvele hodí pre každého, kto sa nebojí vystúpiť z davu'@'Al Haramain'@'Drevitá'@'60'
0@'Sheikh'@'images/1n8ls2AL/Sheikh.png'@'35.58'@'231'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Nový deň, nová príležitosť zdolávať výzvy. Parfumovaná voda pre mužov Al Haramain Sheikh osvieži vašu myseľ a vy tak môžete smelo nasledovať svoj inštinkt. Vydajte sa v ústrety každodennému dobrodružstvu.'@'Al Haramain'@'Orientálna'@'100'
0@'Matar Al Hub'@'images/HMZl1LGk/matar.png'@'30'@'241'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Kúzlo tejto vône tkvie v tom, že sa skvelo hodí pre ženy aj mužov. Každý si v nej nájde to svoje, na každom sa rozvonia inak. Pánska parfumovaná voda Al Haramain Matar Al Hub sa na vašom toaletnom stolíku rozhodne nestratí a navyše sa o ňu môžete deliť aj so svojou drahou polovičkou.'@'Al Haramain'@'Orientálna'@'100'
0@'Vintage Classic'@'images/XqWMYmP6/vintage.png'@'23'@'232'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Či už vás čaká dôležité pracovné rokovanie, párty s priateľmi alebo večera s osudovou ženou, parfumovaná voda pre mužov Al Haramain Vintage Classic je vždy skvelou voľbou. Podporí vaše sebavedomie kedykoľvek, keď budete chcieť zažiariť.'@'Al Haramain'@'Korenistá'@'100'
0@'Coupe'@'images/BQd1EhJe/coupe.png'@'34'@'541'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Novú závislosť, ktorej sa nebudete chcieť vzdať, predstavuje parfumovaná voda pre mužov Al Haramain Coupe . Presvedčí vás hneď pri prvom privoňaní, že odteraz bude neodmysliteľnou súčasťou každého vášho dňa.'@'Al Haramain'@'Drevitá'@'100'
0@'Nasmah'@'images/LA5xyEgS/nasmah.png'@'32.84'@'215'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Parfémy Al Haramain s obľubou kombinujú tradičné arabské a moderné vône. Veľký ohlas si získali najmä produkty, ktorých hlavnou zložkou je vzácne agarové drevo.'@'Al Haramain'@'Kvetinová'@'50'
0@'Portfolio Neroli Canvas'@'images/JZZs68ws/batoul.png'@'213.99'@'26'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Pre každého. Bez rozdielu. Pánska parfumovaná voda Al Haramain Portfolio Neroli Canvas sa skvele hodí ako pre ženy, tak aj pre mužov, a nechá naplno vyniknúť vašu osobnosť.'@'Al Haramain'@'Orientálna'@'60'
0@'Oudh Patchouli'@'images/KiQmElRB/oudh.png'@'67'@'35'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Pre každého. Bez rozdielu. Pánska parfumovaná voda Al Haramain Oudh Patchouli sa skvele hodí ako pre ženy, tak aj pre mužov, a nechá naplno vyniknúť vašu osobnosť.'@'Al Haramain'@'Orientálna'@'100'
0@'Eugenie'@'images/LXGNCIX3/eugenie.png'@'41'@'231'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Kúzlo tejto vône tkvie v tom, že sa skvelo hodí pre ženy aj mužov. Každý si v nej nájde to svoje, na každom sa rozvonia inak. Pánska parfumovaná voda Al Haramain Eugenie sa na vašom toaletnom stolíku rozhodne nestratí a navyše sa o ňu môžete deliť aj so svojou drahou polovičkou.'@'Al Haramain'@'Orientálna'@'100'
0@'Portfolio Royale Stallion'@'images/OKL8wIRL/portroyale.png'@'211'@'124'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Zabudnite na pravidlá, hranice a limity. Pánska parfumovaná voda Al Haramain Portfolio Royale Stallion sa skvele hodí pre každého, kto sa nebojí vystúpiť z davu.'@'Al Haramain'@'Aromatická'@'60'
0@'Faris Aswad'@'images/bvGrcA9Y/faris.png'@'50'@'241'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Objavte vôňu, ktorá nezapadá do žiadnych škatuliek, a pritom majstrovsky zdôrazní osobnosť svojho nositeľa. Pánska parfumovaná voda Al Haramain Faris Aswad je tá pravá vôňa, ktorá umožní vyniknúť vašej originalite.'@'Al Haramain'@'Drevitá'@'60'
0@'Haramain Treasure'@'images/UJFuckj1/Haramain Treasure.png'@'330.9'@'8'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Al Haramain sa podľa svojich vlastných slov usiluje o dokonalosť. Preto kladie enormný dôraz aj na obalový dizajn. Do detailov prepracované flakóny v podobe prepychových orientálnych cukorničiek, čajových kanvičiek etc., patria k tomu jednoznačne najpodarenejšiemu, čo je v tejto oblasti k videniu.'@'Al Haramain'@'Pižmová'@'60'
0@'Sheikh II'@'images/isFGk5Eb/sheikh2.png'@'255'@'9'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Ako únik do samotného srdca prírody na vás zapôsobí parfumovaná voda pre mužov Al Haramain Sheikh II. Nechajte za chrbtom stresujúci mestský zhon a sústreďte sa na to, čo je naozaj dôležité.'@'Al Haramain'@'Drevitá'@'60'
0@'ĽAventure Intense'@'images/UhL8jhV4/laventureintense.png'@'39.95'@'45'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Nový deň, nová príležitosť zdolávať výzvy. Parfumovaná voda pre mužov Al Haramain Ľaventure Intense osvieži vašu myseľ a vy tak môžete smelo nasledovať svoj inštinkt. Vydajte sa v ústrety každodennému dobrodružstvu.'@'Al Haramain'@'Cyprusová'@'100'
0@'Détour noir'@'images/BU3FPTiI/voir.png'@'35.9'@'68'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Novú závislosť, ktorej sa nebudete chcieť vzdať, predstavuje parfumovaná voda pre mužov Al Haramain Détour noir . Presvedčí vás hneď pri prvom privoňaní, že odteraz bude neodmysliteľnou súčasťou každého vášho dňa.'@'Al Haramain'@'Kvetinová'@'100'
0@'Acqua di Giò Profondo'@'images/TQJBPRLM/Acqua di Giò Profondo.png'@'183'@'45'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Do hlbín mora, až tam, kde odtiene modrej získavajú tie najtemnejšie odtiene, ponorí vaše zmysly pánska parfumovaná voda Giorgio Armani Acqua di Giò Profondo. Objavte a preskúmajte novú dimenziu vody aj svojej duše.'@'Armani'@'Aromatická'@'200'
0@'Acqua di Giò Absolu'@'images/PfP4TlMW/Acqua di Giò Absolu.png'@'183'@'35'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Parfumovaná voda pre mužov Armani Acqua di Giò Absolu je novou interpretáciou klasickej vône Acqua di Giò. Oproti pôvodnej verzii sa vyznačuje spojením pôsobivých drevitých a jemných vodných tónov.'@'Armani'@'Vodná'@'200'
0@'Code Homme Parfum'@'images/KHI7Qq9T/Code Homme Parfum.png'@'125'@'87'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Mužnosť a citlivosť. Pluralitu muža dneška stelesňuje pánsky parfém Armani Code Le Parfum. Táto vôňa bola inšpirovaná súčasnými mužmi, ktorí slobodne vyjadrujú emócie a autenticky prejavujú svoju maskulinitu.'@'Armani'@'Aromatická'@'150'
0@'Acqua di Giò Profumo'@'images/5rUSdBjU/Acqua di Giò Profumo.png'@'147'@'34'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Aké to je, keď sa spoja drsné vulkanické horniny so slanou vodou z hlbín oceánu, vám dá pocítiť parfumovaná voda pre mužov Armani Acqua di Giò Profumo. Táto sofistikovaná a silne maskulínna vôňa vás prenesie na stredomorské pobrežie, kde sa rozbúrené more stretáva s tvrdou skalou, a zahalí vaše telo do intenzívnej minerálnej sviežosti.'@'Armani'@'Vodná'@'120'
0@'Emporio Stronger With You Absolutely'@'images/6gtibdgu/Emporio Stronger With You Absolutely.png'@'105'@'75'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Vášeň silnejšia než kedykoľvek predtým. Zažite ju aj vy. Pánsky parfém Armani Emporio Stronger With You Absolutely odhaľuje zážitok absolútnej lásky v mimoriadne zmyselnej podobe. Tento parfém si vás zaručene podmaní svojou zvodnou a vysoko návykovou vonnou kompozíciou.'@'Armani'@'Fougerova'@'100'
0@'Emporio Stronger With You Intensely'@'images/AomMBFXe/Emporio Stronger With You Intensely.png'@'99'@'54'@'Parfúmová voda'@'parfumovaná voda pre mužov'@'Parfumovaná voda Giorgio Armani Emporio Stronger With You Intensely je inšpirovaná hlbokým milostným príbehom súčasného mladého muža, ktorý každý deň posúva hranice svojej lásky a posilňuje ju.'@'Armani'@'Korenistá'@'100'
0@'sfde'@'images/iwQJsQoV/logo-logo.png'@'45'@'45'@'Parfémy'@'parfumovaná voda pre mužov'@'asdasf'@'Al Haramain'@'Aromatická'@'60'
0@'sadf'@'images/dgyXJkoK/logo-logo.png'@'54'@'54'@'Kolínska voda'@'sadf'@'asdf'@'Adidas'@'Citrusová'@'50'
0@'sadf'@'images/gjX0EYrb/logo-logo.png'@'45'@'45'@'Kolínska voda'@'dsfg'@'dfgs'@'Adidas'@'Aromatická'@'50'
0@'sadf'@'images/TFXi2Ott/logo-logo.png'@'45'@'45'@'Kolínska voda'@'dsfg'@'dfgs'@'Adidas'@'Aromatická'@'50'
0@'Skuska'@'images/KDxTbqrh/logo-03.png'@'78'@'15'@'Parfémy'@'toaletná voda pre mužov'@'safdasdfsadf'@'DIOR'@'Citrusová'@'100'
0@'fsda'@'images/Nze08272/logo-03.png'@'45'@'25'@'Parfúmová voda'@'fa'@'gsagsa'@'Al Haramain'@'Citrusová'@'120'
0@'gdfgdf'@'images/m1HWPlAN/posterGrass.png'@'54'@'45'@'Parfémy'@'gfdfh'@'fdhdfjdghjd'@'Adidas'@'Citrusová'@'50'
0@'das'@'images/btGNycBm/posterGrass.png'@'54'@'45'@'Kolínska voda'@'utz'@'tuz'@'Adidas'@'Aromatická'@'50'
0@'fdsa'@'images/Aj1D69dv/batoul.png'@'45'@'45'@'Kolínska voda'@'g'@'hdfgh'@'Armani'@'Aromatická'@'50'
